Código do Termo;Termo
60000015;DIÁRIA COMPACTA DE APARTAMENTO COM ALOJAMENTO CONJUNTO 
60000023;DIÁRIA COMPACTA DE  APARTAMENTO LUXO 
60000031;DIÁRIA COMPACTA DE ISOLAMENTO DE APARTAMENTO LUXO 
60000040;DIÁRIA COMPACTA DE APARTAMENTO SIMPLES
60000058;DIÁRIA COMPACTA DE ISOLAMENTO DE APARTAMENTO SIMPLES  
60000066;DIÁRIA COMPACTA DE APARTAMENTO SUÍTE 
60000074;DIÁRIA COMPACTA DE ISOLAMENTO DE APARTAMENTO SUÍTE 
60000082;DIÁRIA COMPACTA DE BERÇÁRIO NORMAL 
60000090;DIÁRIA COMPACTA DE ENFERMARIA DE 2 LEITOS COM BANHEIRO PRIVATIVO
60000104;DIÁRIA COMPACTA DE ENFERMARIA DE 2 LEITOS SEM BANHEIRO PRIVATIVO
60000112;DIÁRIA COMPACTA DE ENFERMARIA DE 3 LEITOS COM BANHEIRO PRIVATIVO
60000120;DIÁRIA COMPACTA DE ENFERMARIA DE 3 LEITOS SEM BANHEIRO PRIVATIVO
60000139;DIÁRIA COMPACTA DE ENFERMARIA DE 4 OU MAIS LEITOS COM BANHEIRO PRIVATIVO
60000147;DIÁRIA COMPACTA DE ENFERMARIA DE 4 OU MAIS LEITOS SEM BANHEIRO PRIVATIVO
60000155;DIÁRIA COMPACTA DE HOSPITAL DIA APARTAMENTO 
60000163;DIÁRIA COMPACTA DE HOSPITAL DIA ENFERMARIA 
60000171;DIÁRIA COMPACTA DE QUARTO COLETIVO DE 2 LEITOS COM BANHEIRO PRIVATIVO
60000180;DIÁRIA COMPACTA DE QUARTO COLETIVO DE 2 LEITOS SEM BANHEIRO PRIVATIVO
60000198;DIÁRIA COMPACTA DE QUARTO PRIVATIVO / PARTICULAR COM BANHEIRO PRIVATIVO
60000201;DIÁRIA COMPACTA DE ISOLAMENTO DE QUARTO PRIVATIVO / PARTICULAR COM BANHEIRO PRIVATIVO
60000210;DIÁRIA COMPACTA DE QUARTO PRIVATIVO / PARTICULAR SEM BANHEIRO PRIVATIVO
60000228;DIÁRIA COMPACTA DE ISOLAMENTO DE QUARTO PRIVATIVO / PARTICULAR SEM BANHEIRO PRIVATIVO
60000236;DIÁRIA COMPACTA DE SEMI UTI ADULTO GERAL 
60000244;DIÁRIA COMPACTA DE ISOLAMENTO DE SEMI UTI ADULTO GERAL 
60000252;DIÁRIA COMPACTA DE UNIDADE INTERMEDIÁRIA GERAL 
60000260;DIÁRIA COMPACTA DE UTI ADULTO GERAL 
60000279;DIÁRIA COMPACTA DE ISOLAMENTO DE UTI ADULTO GERAL 
60000287;DIÁRIA COMPACTA DE UTI NEONATAL 
60000295;DIÁRIA COMPACTA DE ISOLAMENTO DE UTI NEONATAL 
60000309;DIÁRIA COMPACTA DE UTI INFANTIL/PEDIÁTRICA 
60000317;DIÁRIA COMPACTA DE ISOLAMENTO DE UTI INFANTIL/PEDIÁTRICA 
60000325;TAXA COMPACTA DE REPOUSO EM PRONTO SOCORRO
60000333;TAXA COMPACTA DE SALA CENTRO CIRÚRGICO
60000341;TAXA COMPACTA DE SALA CENTRO OBSTÉTRICO
60000350;TAXA COMPACTA DE SALA DE ANGIOGRAFIA
60000368;DIÁRIA DE ACOMPANHANTE SEM CAFÉ DA MANHÃ E SEM REFEIÇÃO
60000376;TAXA COMPACTA DE SALA DE CURATIVOS AMBULATORIAIS
60000384;DIÁRIA DE ACOMPANHANTE COM REFEIÇÃO COMPLETA
60000392;TAXA COMPACTA DE SALA DE HEMODIÁLISE
60000406;TAXA COMPACTA DE SALA DE HEMODINÂMICA
60000414;TAXA COMPACTA DE SALA DE IMOBILIZAÇÃO GESSADA
60000422;TAXA COMPACTA DE SALA DE IMOBILIZAÇÕES NÃO GESSADAS
60000430;DIÁRIA DE UTI PÓS OPERATÓRIO
60000449;TAXA COMPACTA DE SALA DE MEDICAMENTOS VIA IM OU IV
60000457;TAXA COMPACTA DE SALA DE PEQUENAS CIRURGIAS
60000465;TAXA COMPACTA DE SALA DE PEQUENOS PROCEDIMENTOS
60000473;DIÁRIA DE ACOMPANHANTE SOMENTE COM CAFÉ DA MANHÃ
60000481;TAXA COMPACTA DE SALA DE SESSÃO DE QUIMIOTERAPIA AMBULATORIAL
60000490;TAXA COMPACTA DE SALA SESSÃO DE INALAÇÃO
60000503;DIÁRIA DE  APARTAMENTO COM ALOJAMENTO CONJUNTO 
60000511;DIÁRIA DE  APARTAMENTO LUXO 
